date,volume,open,high,low,close,adjusted_close
2025-06-02,21228875,178.0,178.05,175.25,175.9,43.975
2025-06-03,7697062,177.5,178.8,177.0,177.15,44.2875
2025-06-04,12228053,179.3,181.3,179.15,181.3,45.325
2025-06-05,10845068,182.0,182.65,181.5,181.65,45.4125
2025-06-06,8750467,181.9,182.4,181.5,181.95,45.4875
2025-06-09,14115012,183.4,184.05,183.05,183.7,45.925
2025-06-10,31483080,184.9,188.9,184.9,188.65,47.1625
2025-06-18,252639825,47.5,47.72,47.14,47.57,47.57
2025-06-19,173652638,47.5,47.55,47.02,47.1,47.1
2025-06-20,84926293,47.1,47.16,46.69,47.03,47.03
2025-06-23,107319197,46.54,46.66,46.28,46.64,46.64
2025-06-24,56021848,47.3,47.49,47.3,47.49,47.49
2025-06-25,79951752,47.9,48.18,47.89,48.18,48.18
2025-06-26,79097206,48.3,48.45,48.17,48.24,48.24
2025-06-27,95810636,48.32,48.37,48.0,48.29,48.29
2025-06-30,60476067,48.37,48.42,48.24,48.36,48.36
2025-07-01,77081298,48.38,49.15,48.38,48.64,48.64
2025-07-02,76741186,48.57,48.75,48.38,48.65,48.65
2025-07-03,62689710,49.35,49.6,49.26,49.32,49.32
2025-07-04,77050522,49.4,49.49,48.83,48.86,48.86
2025-07-07,82143364,48.82,48.82,48.44,48.57,48.57
2025-07-08,52542933,48.45,48.51,48.21,48.35,48.35
2025-07-09,39626824,48.35,48.99,48.27,48.85,48.85
2025-07-10,54779575,49.0,49.47,48.99,49.41,49.41
2025-07-11,46214252,49.36,49.63,49.28,49.62,49.62
2025-07-14,65170727,49.59,49.59,49.21,49.33,49.33
2025-07-15,69996070,49.35,50.1,49.33,50.0,50.0
2025-07-16,92296251,50.15,50.7,50.15,50.4,50.4
2025-07-17,89861784,50.6,50.8,50.3,50.7,50.7
2025-07-18,107920505,51.4,51.6,51.3,51.45,51.45
2025-07-21,78953424,51.1,51.1,50.75,50.9,50.9
2025-07-22,92162175,50.9,51.3,50.45,50.55,50.55
2025-07-23,65118595,50.6,50.85,50.55,50.7,50.7
2025-07-24,80703644,51.0,51.1,50.8,51.0,51.0
2025-07-25,40414405,51.0,51.1,50.8,50.9,50.9
2025-07-28,53609331,51.2,51.4,50.9,51.05,51.05
2025-07-29,107016033,51.05,51.05,50.25,50.45,50.45
2025-07-30,84052507,50.8,51.1,50.65,51.0,51.0
2025-07-31,83010418,51.1,51.6,51.1,51.55,51.55
2025-08-01,103281333,50.8,51.2,50.65,51.1,51.1
2025-08-04,88936360,50.65,50.8,50.4,50.8,50.8
2025-08-05,48253208,51.25,51.45,51.05,51.45,51.45
2025-08-06,51398358,51.1,51.1,50.85,51.0,51.0
2025-08-07,127953769,51.65,52.6,51.65,52.45,52.45
2025-08-08,61743128,52.55,52.6,52.3,52.45,52.45
2025-08-11,74255676,52.35,53.1,52.05,52.85,52.85
2025-08-12,60122164,52.85,53.0,52.55,52.9,52.9
2025-08-13,78177118,53.15,53.4,52.95,53.35,53.35
2025-08-14,59818527,53.2,53.3,52.95,53.15,53.15
2025-08-15,55175623,53.15,53.3,52.8,53.15,53.15
2025-08-18,48004775,52.95,53.35,52.8,53.3,53.3
2025-08-19,31232902,53.3,53.3,53.05,53.2,53.2
2025-08-20,241376498,52.55,52.6,51.5,51.7,51.7
2025-08-21,76525276,51.75,52.1,51.75,52.0,52.0
2025-08-22,47853232,52.05,52.1,51.65,51.75,51.75
2025-08-25,64451775,52.45,52.95,52.35,52.7,52.7
2025-08-26,42402036,52.55,52.85,52.3,52.75,52.75
2025-08-27,91463591,53.0,53.15,52.9,53.0,53.0
2025-08-28,61856984,52.8,52.9,52.5,52.5,52.5
2025-08-29,37614042,52.8,52.95,52.5,52.5,52.5
2025-09-01,82748402,52.15,52.45,51.75,52.0,52.0
2025-09-02,34866736,52.3,52.5,51.95,52.0,52.0
2025-09-03,41247523,51.9,52.2,51.75,51.95,51.95
2025-09-04,38611419,52.55,52.7,52.25,52.3,52.3
2025-09-05,38976905,52.7,52.9,52.65,52.85,52.85
2025-09-08,61781569,53.4,53.55,53.25,53.35,53.35
2025-09-09,57948913,53.55,53.95,53.5,53.9,53.9
2025-09-10,75585424,54.4,55.0,54.4,54.95,54.95
2025-09-11,87937880,55.55,55.9,55.25,55.45,55.45
2025-09-12,59101728,55.75,56.0,55.7,56.0,56.0
2025-09-15,56031630,56.0,56.05,55.8,56.0,56.0
2025-09-16,65388179,56.15,56.85,56.15,56.75,56.75
2025-09-17,70590054,56.6,56.6,56.25,56.35,56.35
2025-09-18,45899106,56.5,56.95,56.25,56.95,56.95
2025-09-19,74098514,57.0,57.1,56.6,57.0,57.0
2025-09-22,59170020,57.0,57.4,56.75,57.4,57.4
2025-09-23,92241987,57.85,58.6,57.85,58.45,58.45
2025-09-24,95128957,58.7,58.95,58.1,58.4,58.4
2025-09-25,59962136,58.35,58.4,58.0,58.2,58.2
2025-09-26,170962034,57.9,57.9,56.85,57.25,57.25
2025-09-30,64586624,57.55,57.9,57.55,57.8,57.8
2025-10-01,77291614,57.9,58.75,57.9,58.1,58.1
2025-10-02,73803137,59.0,59.25,58.85,59.2,59.2
2025-10-03,76083554,59.2,60.1,59.05,60.05,60.05
2025-10-07,138001575,61.0,61.7,60.9,61.7,61.7
2025-10-08,119706336,61.0,61.15,60.6,61.15,61.15
2025-10-09,76478634,61.85,61.95,61.5,61.6,61.6
2025-10-13,277610574,59.9,61.0,59.6,61.0,61.0
2025-10-14,163441296,61.85,62.15,60.65,60.7,60.7
2025-10-15,101918261,61.0,61.8,60.6,61.8,61.8
2025-10-16,115801585,62.1,63.0,62.1,63.0,63.0
2025-10-17,166191884,62.05,62.3,61.9,62.05,62.05
2025-10-20,105854638,62.35,63.2,62.15,63.1,63.1
2025-10-21,128793394,63.4,63.65,63.05,63.2,63.2
2025-10-22,124303290,62.6,62.85,62.25,62.7,62.7
2025-10-23,166688171,62.1,62.4,61.75,62.35,62.35
2025-10-27,104776108,63.75,63.9,63.45,63.8,63.8
2025-10-28,99770041,63.55,63.7,63.2,63.35,63.35
2025-10-29,67414369,63.7,64.45,63.7,64.4,64.4
2025-10-30,95106510,64.6,64.8,64.0,64.4,64.4
2025-10-31,55956524,64.6,64.8,64.4,64.75,64.75
2025-11-03,140157410,64.45,64.8,63.9,64.15,64.15
2025-11-04,88131032,64.5,64.85,63.85,63.95,63.95
2025-11-05,229413552,62.95,63.15,62.3,63.15,63.15
2025-11-06,68680372,63.35,63.5,63.15,63.3,63.3
2025-11-07,111187957,62.65,62.75,62.4,62.55,62.55
2025-11-10,83130868,62.8,63.35,62.6,63.35,63.35
2025-11-11,79723934,63.65,63.7,62.85,62.9,62.9
2025-11-12,62620173,62.95,63.3,62.75,63.2,63.2
2025-11-13,80483242,62.8,62.95,62.6,62.9,62.9
2025-11-14,223192943,61.65,61.9,61.4,61.7,61.7
2025-11-17,91925734,62.0,62.2,61.8,61.9,61.9
2025-11-18,264956405,61.3,61.3,60.3,60.45,60.45
2025-11-19,151383859,60.15,60.5,59.9,60.05,60.05
2025-11-20,84027889,61.55,61.95,61.35,61.9,61.9
2025-11-21,327691489,60.1,60.15,59.5,59.85,59.85
