date,volume,open,high,low,close,adjusted_close
2025-09-18,333634,223.7,224.45,222.5,224.3,32.042857142857144
2025-09-19,394424,225.75,225.75,223.5,224.85,32.121428571428574
2025-09-22,818563,224.85,226.9,223.8,226.25,32.32142857142857
2025-09-23,1543555,229.1,232.0,228.75,231.9,33.128571428571426
2025-09-24,977850,232.6,232.6,230.05,232.15,33.16428571428572
2025-09-25,562129,231.35,231.6,230.15,230.65,32.95
2025-09-26,1381906,229.2,229.4,225.25,226.7,32.385714285714286
2025-09-30,625547,228.15,229.6,228.15,229.0,32.714285714285715
2025-10-01,1436033,229.75,233.25,229.55,229.95,32.85
2025-10-02,1743270,234.45,235.5,233.3,234.95,33.56428571428571
2025-10-03,1004389,234.9,239.25,234.35,239.1,34.15714285714286
2025-10-07,1438766,244.25,246.45,244.0,246.45,35.207142857142856
2025-10-08,1122510,242.55,244.1,241.85,244.1,34.871428571428574
2025-10-09,1660049,248.1,248.1,246.15,247.3,35.32857142857143
2025-10-13,6093813,241.7,243.65,240.1,242.55,34.65
2025-10-14,2412124,247.65,247.95,241.1,241.35,34.47857142857143
2025-10-15,1424597,242.6,246.8,241.35,245.75,35.107142857142854
2025-10-16,3335016,248.0,253.25,248.0,252.8,36.114285714285714
2025-10-17,4260582,249.6,249.6,248.15,248.15,35.45
2025-10-20,2458615,250.2,253.6,249.35,252.85,36.121428571428574
2025-10-21,2915514,256.75,256.75,253.1,253.2,36.17142857142857
2025-10-22,3685947,250.45,251.55,249.35,251.2,35.885714285714286
2025-10-23,2060755,247.8,249.45,247.4,248.95,35.56428571428571
2025-10-27,3057982,255.75,256.15,254.85,255.8,36.542857142857144
2025-10-28,2246798,255.55,255.8,253.85,254.25,36.32142857142857
2025-10-29,3263907,256.7,260.25,256.7,260.0,37.142857142857146
2025-10-30,3320621,260.55,261.85,258.15,260.0,37.142857142857146
2025-10-31,2193289,260.35,261.8,260.35,261.2,37.31428571428571
2025-11-03,4021496,260.65,262.1,258.0,258.75,36.964285714285715
2025-11-04,3491930,261.35,261.95,257.25,257.35,36.76428571428572
2025-11-05,4728977,253.0,254.35,250.6,253.6,36.22857142857143
2025-11-06,2091092,254.2,255.95,254.2,254.85,36.40714285714286
2025-11-07,3564264,252.6,252.6,250.75,251.5,35.92857142857143
2025-11-10,1365866,253.05,255.95,252.75,255.85,36.55
2025-11-11,2081270,257.25,257.8,253.55,253.6,36.22857142857143
2025-11-12,814628,254.25,255.5,252.95,255.3,36.471428571428575
2025-11-13,1651809,253.6,254.35,252.85,254.1,36.3
2025-11-14,5893574,248.3,249.65,248.05,248.5,35.5
2025-11-17,4415657,250.35,252.05,249.0,249.0,35.57142857142857
2025-11-18,12055630,247.85,247.95,243.2,245.3,35.042857142857144
2025-11-26,272824460,35.38,35.4,35.2,35.35,35.35
2025-11-27,105493794,35.8,35.88,35.52,35.68,35.68
2025-11-28,58627470,35.75,36.08,35.71,36.01,36.01
2025-12-01,103756610,35.8,35.81,35.35,35.36,35.36
2025-12-02,34447663,35.65,35.8,35.39,35.41,35.41
2025-12-03,28383484,35.82,35.94,35.7,35.81,35.81
2025-12-04,28232053,35.89,35.92,35.59,35.68,35.68
2025-12-05,26640542,35.77,36.12,35.77,36.12,36.12
2025-12-08,43478825,36.4,36.82,36.34,36.82,36.82
2025-12-09,46234204,37.0,37.0,36.72,36.77,36.77
2025-12-10,37284974,36.82,37.11,36.79,37.02,37.02
2025-12-11,83069313,37.28,37.28,36.44,36.55,36.55
2025-12-12,42671777,36.71,36.73,36.45,36.64,36.64
2025-12-15,48708244,35.91,36.09,35.88,36.05,36.05
2025-12-16,93412953,35.71,35.75,35.38,35.65,35.65
2025-12-17,37191719,35.64,35.79,35.44,35.46,35.46
2025-12-18,52410869,35.28,35.54,35.22,35.31,35.31
2025-12-19,24363230,35.76,35.86,35.61,35.64,35.64
2025-12-22,26630844,36.2,36.3,36.1,36.21,36.21
2025-12-23,27889438,36.36,36.51,36.36,36.46,36.46
2025-12-24,18713629,36.68,36.69,36.49,36.55,36.55
2025-12-26,26413506,36.8,36.91,36.7,36.89,36.89
2025-12-29,35108523,37.0,37.45,37.0,37.4,37.4
2025-12-30,29671784,37.22,37.46,37.08,37.45,37.45
2025-12-31,62432257,37.31,37.97,37.29,37.89,37.89
2026-01-02,46573974,38.09,38.78,37.94,38.76,38.76
2026-01-05,101052485,39.75,40.87,39.7,40.4,40.4
2026-01-06,77151705,40.27,41.1,40.2,41.1,41.1
2026-01-07,72284388,41.1,41.11,40.64,40.77,40.77
2026-01-08,52857390,40.6,40.97,40.4,40.84,40.84
2026-01-09,62671248,40.45,40.94,40.02,40.66,40.66
2026-01-12,37846609,41.05,41.08,40.83,40.9,40.9
2026-01-13,67136520,41.33,41.53,41.02,41.24,41.24
2026-01-14,50696193,41.38,41.55,41.33,41.35,41.35
2026-01-15,59245959,41.16,41.17,40.88,41.1,41.1
2026-01-16,64178143,41.97,42.09,41.47,42.07,42.07
2026-01-19,73592730,41.81,42.7,41.64,42.48,42.48
2026-01-20,67530077,42.09,42.64,42.0,42.64,42.64
2026-01-21,78759240,42.11,42.49,42.0,42.11,42.11
2026-01-22,36697730,42.51,42.7,42.37,42.42,42.42
2026-01-23,27163442,42.67,42.88,42.42,42.81,42.81
2026-01-26,45458233,42.9,43.12,42.82,42.85,42.85
2026-01-27,33800034,42.93,43.53,42.89,43.42,43.42
2026-01-28,38434828,43.82,44.24,43.79,44.23,44.23
2026-01-29,69705306,44.45,44.49,43.81,43.96,43.96
2026-01-30,76077198,43.5,43.54,43.1,43.28,43.28
2026-02-02,79577496,42.7,42.73,42.21,42.52,42.52
2026-02-03,34925085,43.47,43.55,43.06,43.37,43.37
2026-02-04,22981102,43.07,43.61,43.03,43.43,43.43
2026-02-05,41423872,42.88,43.02,42.76,42.86,42.86
2026-02-06,35439284,42.36,42.99,42.09,42.71,42.71
2026-02-09,50130204,44.02,44.1,43.83,43.88,43.88
2026-02-10,50109315,44.35,44.96,44.35,44.95,44.95
2026-02-11,70948219,45.2,46.19,45.2,46.07,46.07
2026-02-23,94785776,46.71,46.71,45.8,45.8,45.8
2026-02-24,53868898,46.16,47.44,46.13,47.28,47.28
2026-02-25,83893897,48.85,48.85,47.9,48.38,48.38
2026-02-26,62412762,48.5,48.58,48.1,48.42,48.42
2026-03-02,82159364,47.2,48.25,47.18,47.9,47.9
